company,weeks_total,weeks_with_sentiment,weeks_with_mention_gt0,rows_ok_L1,rows_ok_L2,rows_ok_L3,rows_ok_L4,weeks_with_sentiment_share,weeks_with_mention_gt0_share,rows_ok_L1_share,rows_ok_L2_share,rows_ok_L3_share,rows_ok_L4_share
bmw,106,50,50,45,40,35,30,0.4716981132075472,0.4716981132075472,0.42452830188679247,0.37735849056603776,0.330188679245283,0.2830188679245283
airbnb,106,52,52,45,39,34,29,0.49056603773584906,0.49056603773584906,0.42452830188679247,0.36792452830188677,0.32075471698113206,0.27358490566037735
prada,106,84,84,66,51,37,28,0.7924528301886793,0.7924528301886793,0.6226415094339622,0.4811320754716981,0.3490566037735849,0.2641509433962264
dior,106,47,47,39,33,29,25,0.44339622641509435,0.44339622641509435,0.36792452830188677,0.3113207547169811,0.27358490566037735,0.2358490566037736
ebay,106,47,47,39,34,29,24,0.44339622641509435,0.44339622641509435,0.36792452830188677,0.32075471698113206,0.27358490566037735,0.22641509433962265
adidas,106,45,45,37,32,27,22,0.42452830188679247,0.42452830188679247,0.3490566037735849,0.3018867924528302,0.25471698113207547,0.20754716981132076
hyundai,106,48,48,38,30,25,22,0.4528301886792453,0.4528301886792453,0.3584905660377358,0.2830188679245283,0.2358490566037736,0.20754716981132076
oracle,106,74,74,54,41,30,21,0.6981132075471698,0.6981132075471698,0.5094339622641509,0.3867924528301887,0.2830188679245283,0.19811320754716982
cisco,106,47,47,37,29,23,17,0.44339622641509435,0.44339622641509435,0.3490566037735849,0.27358490566037735,0.2169811320754717,0.16037735849056603
nissan,106,73,73,51,35,24,17,0.6886792452830188,0.6886792452830188,0.4811320754716981,0.330188679245283,0.22641509433962265,0.16037735849056603
porsche,106,65,65,42,27,19,16,0.6132075471698113,0.6132075471698113,0.39622641509433965,0.25471698113207547,0.1792452830188679,0.1509433962264151
nintendo,106,73,73,51,35,22,16,0.6886792452830188,0.6886792452830188,0.4811320754716981,0.330188679245283,0.20754716981132076,0.1509433962264151
huawei,106,43,43,33,26,20,15,0.4056603773584906,0.4056603773584906,0.3113207547169811,0.24528301886792453,0.18867924528301888,0.14150943396226415
chanel,106,42,42,31,24,18,14,0.39622641509433965,0.39622641509433965,0.29245283018867924,0.22641509433962265,0.16981132075471697,0.1320754716981132
burberry,106,44,44,34,26,19,14,0.41509433962264153,0.41509433962264153,0.32075471698113206,0.24528301886792453,0.1792452830188679,0.1320754716981132
nestle,106,66,66,42,29,20,14,0.6226415094339622,0.6226415094339622,0.39622641509433965,0.27358490566037735,0.18867924528301888,0.1320754716981132
