company,week_start,mean_pos,mean_neu,mean_neg,NYT_mention,sentiment_score,non_neutral_share,num_memes,mean_meme_sentiment,meme_engagement,meme_spike
adidas,2023-07-31,0.05512919219712733,0.8888815414642747,0.05598923636599023,3,-0.0008600441688629001,0.11111845853572533,0,,,
adidas,2023-08-07,0.09999770788789988,0.7972992887729788,0.1027030336447737,5,-0.002705325756873822,0.20270071122702116,0,,,
adidas,2023-08-14,9.761393991780665e-06,0.9157282133577004,0.08426205620202154,4,-0.08425229480802976,0.08427178664229962,0,,,
adidas,2023-08-21,4.252603374984195e-05,0.9990242371956507,0.0009332679888321612,4,-0.0008907419550823192,0.0009757628043493005,0,,,
adidas,2023-08-28,5.0733305556605046e-08,0.9999915361404419,8.432959475612734e-06,1,-8.382226170056128e-06,8.463859558105469e-06,0,,,
adidas,2023-09-04,3.425677164159424e-07,0.9999985694885254,1.0292327488059527e-06,1,-6.866650323900103e-07,1.430511474609375e-06,0,,,
adidas,2023-09-11,9.801117459851127e-06,0.9999631643295288,2.7052158581379142e-05,2,-1.7251041121528015e-05,3.6835670471191406e-05,0,,,
adidas,2023-09-18,3.0412383207334415e-06,0.8625028729438782,0.13749405999175224,4,-0.1374910187534315,0.13749712705612183,0,,,
adidas,2023-10-02,,,,0,,,1,-0.38215620136634243,0.6931471805599453,0.0
adidas,2023-10-23,0.13499250148459546,0.7238906523001623,0.1411168577156346,4,-0.00612435623103913,0.27610934769983775,0,,,
adidas,2023-10-30,0.26802192599066693,0.7229671785211343,0.009010881730217626,3,0.2590110442604493,0.27703282147886565,0,,,
adidas,2023-11-06,8.445289040537318e-06,0.9316325187683105,0.06835900542182571,1,-0.06835056013278518,0.06836748123168945,0,,,
adidas,2023-11-13,0.026562115311486553,0.8999314249027878,0.07350647102660009,3,-0.04694435571511353,0.10006857509721223,0,,,
adidas,2023-12-11,0.0003643604286480695,0.9977585077285767,0.001877129077911377,1,-0.0015127686492633075,0.00224149227142334,0,,,
adidas,2023-12-25,1.1167870965778093e-06,0.9980770945549011,0.0019217497087993252,1,-0.0019206329217027474,0.001922905445098877,0,,,
adidas,2024-01-08,3.89629866859309e-06,0.9999880790710449,7.939841680126847e-06,2,-4.043543011533757e-06,1.1920928955078125e-05,0,,,
adidas,2024-01-15,4.80912611540892e-06,0.9999816020329794,1.3570119790529134e-05,1,-8.760993675120215e-06,1.8397967020633565e-05,0,,,
adidas,2024-01-22,4.4073198068872443e-07,0.9999871253967285,1.2411017905833432e-05,2,-1.1970285925144708e-05,1.2874603271484375e-05,0,,,
adidas,2024-01-29,0.3333495257465984,0.6666382041669294,1.2266400312081297e-05,1,0.3333372593462863,0.3333617958330706,0,,,
adidas,2024-07-01,,,,0,,,2,0.016280989582810435,1.4451858789480825,0.0
